label,position,start time,end time,patient_number,description,link
מלון מגדל דוד,"32.331940, 34.851522",2020-02-08T20:20:00+02:00,2020-02-08T23:59:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון מגדל דוד,"32.331940, 34.851522",2020-02-09T00:00:00+02:00,2020-02-09T09:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
גן לאומי קיסריה,"32.501199, 34.892315",2020-02-09T07:00:00+02:00,2020-02-09T09:11:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון גבריאל,"32.708649, 35.297008",2020-02-09T11:00:00+02:00,2020-02-09T15:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית הבשורה,"32.702367, 35.297376",2020-02-09T12:00:00+02:00,2020-02-09T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כניסת המשפחה הקדושה,"32.705169, 35.310839",2020-02-09T12:00:00+02:00,2020-02-09T20:00:00+02:01,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
עין גב כפר הנופש,"32.771856, 35.638675",2020-02-09T18:00:00+02:01,2020-02-09T23:59:59+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
עין גב כפר הנופש,"32.771856, 35.638675",2020-02-10T00:00:00+02:00,2020-02-10T10:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית הבכורה של פטרוס,"32.871999, 35.550409",2020-02-10T07:00:00+02:00,2020-02-10T15:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מסעדת תנורין,"32.843234, 35.509560",2020-02-10T12:00:00+02:00,2020-02-10T16:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כפר נחום,"32.882419, 35.573693",2020-02-10T13:00:00+02:00,2020-02-10T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנרת - שייט בספינה,"32.867782, 35.525478",2020-02-10T13:00:00+02:00,2020-02-10T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
עין גב כפר הנופש,"32.767652, 35.639340",2020-02-10T20:00:00+02:00,2020-02-10T23:59:59+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
עין גב כפר הנופש,"32.767652, 35.639340",2020-02-11T00:00:00+02:00,2020-02-11T10:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
שכם,"32.226773, 35.262270",2020-02-11T10:00:00+02:00,2020-02-11T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
יריחו,"31.865153, 35.462018",2020-02-11T10:00:00+02:00,2020-02-11T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון דוד ים המלח,"31.202813, 35.361363",2020-02-11T00:00:00+02:00,2020-02-11T23:59:59+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון דוד ים המלח,"31.202813, 35.361363",2020-02-12T00:00:00+02:00,2020-02-12T10:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מצדה,"31.312016, 35.363052",2020-02-12T06:00:00+02:00,2020-02-12T14:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
פארק תמנע,"29.788320, 35.003072",2020-02-12T08:00:00+02:00,2020-02-12T14:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון לאונרדו נגב,"31.247751, 34.801126",2020-02-12T00:00:00+02:00,2020-02-12T23:59:59+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון לאונרדו נגב,"31.247751, 34.801126",2020-02-13T00:00:00+02:00,2020-02-13T10:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
